"","x"
"BPC",-43.2180361173815
"BPE",-43.6237678207739
"BPF",-46.7100411522634
"BPG",-44.5562900355872
"BPH",-48.2088352272727
"BPJ",-45.9561259079903
"BPK",-48.2587842138765
"C87",-42.4544261451364
"C88",-45.7165829918033
"C89",-43.4474976830398
"C8A",-42.9475675675676
"C8B",-43.4500957446809
"C8F",-50.7147712878255
"C8M",-51.1937923250564
"C8P",-44.0894540942928
"C8R",-51.2304028776978
"C8U",-44.8942890995261
"C8Y",-55.0233506493506
"C90",-51.8731599081867
"C93",-45.7003612479475
"C94",-47.3718181818182
"C95",-44.8060429936306
"C96",-44.3535479452055
"C97",-44.2385413005272
"C9C",-46.8192024539877
"C9E",-43.4894181818182
"C9F",-43.0194993045897
"C9H",-44.1225695110259
"C9J",-46.4526732673267
"C9K",-46.5014102564103
"C9L",-46.6262632612967
"C9M",-45.1538090241343
"C9N",-44.8319399293286
"C9P",-43.61191461837
"C9R",-41.2128220402085
"C9S",-46.8517438364402
"C9U",-44.9318616144975
"C9X",-45.1079338842975
"C9Y",-39.9252198185625
"CA1",-46.3010526315789
"CA2",-45.5602235929067
"CA6",-43.3947840531561
"CA7",-46.2902479338843
"CA8",-41.1060255824577
"CAA",-44.1873636363636
"CAD",-43.8325587467363
"CAE",-45.4881468218442
"CAF",-44.6066864716636
"CAG",-46.5275964252117
"CAH",-46.514812992126
"CAJ",-46.8515213675214
"CAK",-45.9411172413793
"CAL",-46.1729671574179
"CAN",-50.9393533487298
"CAR",-45.361362382791
"CAS",-43.2500882612533
"CAT",-44.64337
"CAU",-47.1952916416115
"CAW",-50.3184563758389
"CAY",-44.3556584821429
"CB2",-45.6717741935484
"CB3",-46.5804669779853
"CB4",-44.1768164556962
"CB6",-50.5457738515901
"CB8",-43.3797112608277
"CBA",-45.4838778705637
"CBC",-43.3139502589048
"CBD",-44.0578100263852
"CBE",-43.4367090115125
"CBF",-43.4968720453829
"CBG",-45.4443873947297
"CBH",-48.0807878017789
"CBJ",-52.087614213198
"CBK",-45.3800690387679
"CBL",-40.3557480314961
"CBM",-46.8079775280899
"CBN",-42.8404346009193
"CBP",-49.1701565690946
"CBR",-48.0710325752919
"CBT",-47.4064256523106
"CBU",-47.7805869971936
"CBV",-47.4524825467746
"CBW",-47.4342549713974
"CBX",-47.2732255520505
"CBY",-47.0966397984887
"CC0",-44.4607108081792
"CCB",-48.5798113207547
"CCC",-44.6097030699547
"CCK",-48.8544327176781
"CCP",-44.8128786791098
"CCR",-48.4808056042032
"CCS",-50.3702722177742
"CCT",-51.8892540792541
"CCU",-63.6746875
"CCV",-49.7625826446281
"CCX",-46.1391543340381
"CCY",-45.7309884678748
"CD0",-42.9227731958763
"CD3",-52.4173426573427
"CD5",-44.4744126357354
"CD6",-43.9288473852721
"CD8",-43.115061244488
"CD9",-47.4146041412911
"CDD",-48.1400834028357
"CDF",-44.668960370561
"CDG",-42.7191739732349
"CDH",-43.6606358381503
"CDJ",-44.1306312292359
"CDM",-40.6437264150943
"CDP",-48.6226516853933
"CDR",-42.4351737451737
"CDS",-48.6055888650964
"CDT",-45.4780115830116
"CDU",-47.410109223301
"CDV",-48.3418810601163
"CDW",-48.2186770428016
"CE1",-47.1062779156328
"CE2",-50.4922532188841
"CE4",-50.211167192429
"CE7",-47.8894993581515
"CE8",-50.2035003431709
"CE9",-45.7926380697051
"CEE",-47.880644276902
"CEK",-43.5511570247934
"CEL",-43.6885013146363
"CEM",-43.4829657794677
"CEN",-43.4432135789313
"CEP",-45.3500243902439
"CEW",-48.4847232142857
"CF4",-46.5116947311244
"CF5",-43.8775
"CF6",-45.0957142857143
"CF7",-47.56
"CF8",-46.6375789473684
"CF9",-46.4104839558127
"CFA",-48.5684615384615
"CFB",-46.2894034536892
"CFC",-46.5388877118644
"CFE",-47.2290316333118
"CFF",-48.7298993963783
"CFG",-46.63038585209
"CFH",-47.003125
"CFK",-49.3226239259749
"CFL",-43.3822005571031
"CFM",-42.4688615384615
"CFN",-43.5295781637717
"CFP",-42.3713921113689
"CFR",-44.3432967959528
"CFS",-41.1024970273484
"CFT",-42.3987528473804
"CFU",-43.315717884131
"CFV",-43.3707443563148
"CFX",-50.6404010695187
"CG0",-45.2500897666068
"CG1",-46.2318497109827
"CG2",-44.8599244808055
"CG3",-43.3928915662651
"CG6",-50.6702511415525
"CGB",-43.1141733067729
"CGC",-43.8499514327343
"CGD",-46.7297860962567
"CGF",-47.1817744063325
"CGH",-44.6483215859031
"CGJ",-47.4127192982456
"CGL",-46.3395814977974
"CGM",-45.9404365904366
"CGN",-44.2257142857143
"CGP",-43.987542662116
"CGU",-44.7984790595151
"CGV",-44.7880406932931
"CGW",-45.1055004003203
"CGX",-45.6916772823779
"CGY",-50.0903697749196
"CH1",-43.0520861423221
"CH2",-42.9792484484096
"CH3",-44.7385171102662
"CH5",-42.8593367346939
"CH6",-43.0629580334103
"CH7",-44.7058064516129
"CH8",-44.199619140625
"CHA",-45.1571099154497
"CHB",-44.7708699360341
"CHC",-54.5148102383054
"CHE",-44.9027058823529
"CHH",-43.8225
"CHJ",-44.4020634920635
"CHK",-42.8900584795322
"CHL",-52.1635215311005
"CHP",-45.010558739255
