"","x"
"1824",-71.1167035312959
"1825",-71.0427563033921
"1826",-70.9688090754882
"1827",-70.8948618475844
"1828",-70.8209146196805
"1829",-70.7469673917767
"1830",-70.6730201638728
"1831",-70.599072935969
"1832",-70.5251257080652
"1833",-70.4511784801613
"1834",-70.3772312522575
"1835",-70.3032840243536
"1836",-70.2293367964498
"1837",-70.155389568546
"1838",-70.0814423406421
"1839",-70.0074951127383
"1840",-69.9335478848344
"1841",-69.8596006569306
"1842",-69.7856534290268
"1843",-69.7117062011229
"1844",-69.6377589732191
"1845",-69.5638117453152
"1846",-69.4898645174114
"1847",-69.4159172895075
"1848",-69.3419700616037
"1849",-69.2680228336999
"1850",-69.194075605796
"1851",-69.1201283778922
"1852",-69.0461811499883
"1853",-68.9722339220845
"1854",-68.8982866941807
"1855",-68.8243394662768
"1856",-68.750392238373
"1857",-68.6764450104691
"1858",-68.6024977825653
"1859",-68.5285505546614
"1860",-68.4546033267576
"1861",-68.3806560988538
"1862",-68.3067088709499
"1863",-68.2327616430461
"1864",-68.1588144151422
"1865",-68.0848671872384
"1866",-68.0109199593345
"1867",-67.9369727314307
"1868",-67.8630255035269
"1869",-67.789078275623
"1870",-67.7151310477192
"1871",-67.6411838198153
"1872",-67.5672365919115
"1873",-67.4932893640076
"1874",-67.4193421361038
"1875",-67.3453949081999
"1876",-67.2714476802961
"1877",-67.1975004523923
"1878",-67.1235532244884
"1879",-67.0496059965846
"1880",-66.9756587686807
"1881",-66.9017115407769
"1882",-66.8277643128731
"1883",-66.7538170849692
"1884",-66.6798698570654
"1885",-66.6059226291615
"1886",-66.5319754012577
"1887",-66.4580281733539
"1888",-66.38408094545
"1889",-66.3101337175462
"1890",-66.2361864896423
"1891",-66.1622392617385
"1892",-66.0882920338346
"1893",-66.0143448059308
"1894",-65.940397578027
"1895",-65.8664503501231
"1896",-65.7925031222193
"1897",-65.7185558943154
"1898",-65.6446086664116
"1899",-65.5706614385078
"1900",-65.4967142106039
"1901",-65.4227669827001
"1902",-65.3488197547962
"1903",-65.2748725268924
"1904",-65.2009252989886
"1905",-65.1269780710847
"1906",-65.0530308431809
"1907",-64.979083615277
"1908",-64.9051363873732
"1909",-64.8311891594693
"1910",-64.7572419315655
"1911",-64.6832947036617
"1912",-64.6093474757578
"1913",-64.535400247854
"1914",-64.4614530199501
"1915",-64.3875057920463
"1916",-64.3135585641424
"1917",-64.2396113362386
"1918",-64.1656641083348
"1919",-64.0917168804309
"1920",-64.0177696525271
"1921",-63.9438224246232
"1922",-63.8698751967194
"1923",-63.7959279688155
"1924",-63.7219807409117
"1925",-63.6480335130078
"1926",-63.574086285104
"1927",-63.5001390572002
"1928",-63.4261918292963
"1929",-63.3522446013925
"1930",-63.2782973734886
"1931",-63.2043501455848
"1932",-63.130402917681
"1933",-63.0564556897771
"1934",-62.9825084618733
"1935",-62.9085612339694
"1936",-62.8346140060656
"1937",-62.7606667781617
"1938",-62.6867195502579
"1939",-62.6127723223541
"1940",-62.5388250944502
"1941",-62.4648778665464
"1942",-62.3909306386425
"1943",-62.3169834107387
"1944",-62.2430361828349
"1945",-62.169088954931
"1946",-62.0951417270272
"1947",-62.0211944991233
"1948",-61.9472472712195
"1949",-61.8733000433157
"1950",-61.7993528154118
"1951",-61.725405587508
"1952",-61.6514583596041
"1953",-61.5775111317003
"1954",-61.5035639037964
"1955",-61.4296166758926
"1956",-61.3556694479888
"1957",-61.2817222200849
"1958",-61.2077749921811
"1959",-61.1338277642772
"1960",-61.0598805363734
"1961",-60.9859333084696
"1962",-60.9119860805657
"1963",-60.8380388526619
"1964",-60.764091624758
"1965",-60.6901443968542
"1966",-60.6161971689503
"1967",-60.5422499410465
"1968",-60.4683027131427
"1969",-60.3943554852388
"1970",-60.320408257335
"1971",-60.2464610294311
"1972",-60.1725138015273
"1973",-60.0985665736234
"1974",-60.0246193457196
"1975",-59.9506721178158
"1976",-59.8767248899119
"1977",-59.8027776620081
"1978",-59.7288304341042
"1979",-59.6548832062004
"1980",-59.5809359782965
"1981",-59.5069887503927
"1982",-59.4330415224888
"1983",-59.359094294585
"1984",-59.2851470666812
"1985",-59.2111998387773
"1986",-59.1372526108735
"1987",-59.0633053829696
"1988",-58.9893581550658
"1989",-58.915410927162
"1990",-58.8414636992581
"1991",-58.7675164713543
"1992",-58.6935692434504
"1993",-58.6196220155466
"1994",-58.5456747876428
"1995",-58.4717275597389
"1996",-58.3977803318351
"1997",-58.3238331039312
"1998",-58.2498858760274
"1999",-58.1759386481235
"2000",-58.1019914202197
"2001",-58.0280441923159
"2002",-57.954096964412
"2003",-57.8801497365082
"2004",-57.8062025086043
"2005",-57.7322552807005
"2006",-57.6583080527967
"2007",-57.5843608248928
"2008",-57.510413596989
"2009",-57.4364663690851
"2010",-57.3625191411813
"2011",-57.2885719132775
"2012",-57.2146246853736
"2013",-57.1406774574698
"2014",-57.0667302295659
"2015",-56.9927830016621
"2016",-56.9188357737582
"2017",-56.8448885458544
"2018",-56.7709413179506
"2019",-56.6969940900467
"2020",-56.6230468621429
"2021",-56.549099634239
"2022",-56.4751524063352
"2023",-56.4012051784313
"2024",-56.3272579505275
"2025",-56.2533107226237
"2026",-56.1793634947198
"2027",-56.105416266816
"2028",-56.0314690389121
"2029",-55.9575218110083
"2030",-55.8835745831044
"2031",-55.8096273552006
"2032",-55.7356801272967
"2033",-55.6617328993929
"2034",-55.5877856714891
"2035",-55.5138384435852
"2036",-55.4398912156814
"2037",-55.3659439877775
"2038",-55.2919967598737
"2039",-55.2180495319699
"2040",-55.144102304066
"2041",-55.0701550761622
"2042",-54.9962078482583
"2043",-54.9222606203545
"2044",-54.8483133924506
"2045",-54.7743661645468
"2046",-54.700418936643
"2047",-54.6264717087391
"2048",-54.5525244808353
"2049",-54.4785772529314
"2050",-54.4046300250276
"2051",-54.3306827971238
"2052",-54.2567355692199
"2053",-54.1827883413161
"2054",-54.1088411134122
"2055",-54.0348938855084
"2056",-53.9609466576046
"2057",-53.8869994297007
"2058",-53.8130522017969
"2059",-53.739104973893
"2060",-53.6651577459892
"2061",-53.5912105180853
"2062",-53.5172632901815
"2063",-53.4433160622777
"2064",-53.3693688343738
"2065",-53.29542160647
"2066",-53.2214743785661
"2067",-53.1475271506623
"2068",-53.0735799227585
"2069",-52.9996326948546
"2070",-52.9256854669508
"2071",-52.8517382390469
"2072",-52.7777910111431
"2073",-52.7038437832392
"2074",-52.6298965553354
"2075",-52.5559493274316
"2076",-52.4820020995277
"2077",-52.4080548716239
"2078",-52.33410764372
"2079",-52.2601604158162
"2080",-52.1862131879123
"2081",-52.1122659600085
"2082",-52.0383187321046
"2083",-51.9643715042008
"2084",-51.890424276297
"2085",-51.8164770483931
"2086",-51.7425298204893
"2087",-51.6685825925854
"2088",-51.5946353646816
"2089",-51.5206881367777
"2090",-51.4467409088739
"2091",-51.3727936809701
"2092",-51.2988464530662
"2093",-51.2248992251624
"2094",-51.1509519972585
"2095",-51.0770047693547
"2096",-51.0030575414509
"2097",-50.929110313547
"2098",-50.8551630856432
"2099",-50.7812158577393
"2100",-50.7072686298355
"2101",-50.6333214019317
"2102",-50.5593741740278
"2103",-50.485426946124
"2104",-50.4114797182201
"2105",-50.3375324903163
"2106",-50.2635852624124
"2107",-50.1896380345086
"2108",-50.1156908066048
"2109",-50.0417435787009
"2110",-49.9677963507971
"2111",-49.8938491228932
"2112",-49.8199018949894
"2113",-49.7459546670856
"2114",-49.6720074391817
"2115",-49.5980602112779
"2116",-49.524112983374
"2117",-49.4501657554702
"2118",-49.3762185275664
"2119",-49.3022712996625
"2120",-49.2283240717587
"2121",-49.1543768438548
"2122",-49.080429615951
"2123",-49.0064823880471
"2124",-48.9325351601433
"2125",-48.8585879322395
"2126",-48.7846407043356
"2127",-48.7106934764318
"2128",-48.6367462485279
"2129",-48.5627990206241
"2130",-48.4888517927202
"2131",-48.4149045648164
"2132",-48.3409573369126
"2133",-48.2670101090087
"2134",-48.1930628811049
"2135",-48.119115653201
"2136",-48.0451684252972
"2137",-47.9712211973933
"2138",-47.8972739694895
"2139",-47.8233267415856
"2140",-47.7493795136818
"2141",-47.675432285778
"2142",-47.6014850578741
"2143",-47.5275378299703
"2144",-47.4535906020664
"2145",-47.3796433741626
"2146",-47.3056961462588
"2147",-47.2317489183549
"2148",-47.1578016904511
"2149",-47.0838544625472
"2150",-47.0099072346434
"2151",-46.9359600067395
"2152",-46.8620127788357
"2153",-46.7880655509319
"2154",-46.714118323028
"2155",-46.6401710951242
"2156",-46.5662238672203
"2157",-46.4922766393165
"2158",-46.4183294114127
"2159",-46.3443821835088
"2160",-46.270434955605
"2161",-46.1964877277011
"2162",-46.1225404997973
"2163",-46.0485932718935
"2164",-45.9746460439896
"2165",-45.9006988160858
"2166",-45.8267515881819
"2167",-45.7528043602781
"2168",-45.6788571323742
"2169",-45.6049099044704
"2170",-45.5309626765666
"2171",-45.4570154486627
"2172",-45.3830682207589
"2173",-45.309120992855
"2174",-45.2351737649512
"2175",-45.1612265370474
"2176",-45.0872793091435
"2177",-45.0133320812397
"2178",-44.9393848533358
"2179",-44.865437625432
"2180",-44.7914903975281
"2181",-44.7175431696243
"2182",-44.6435959417205
"2183",-44.5696487138166
"2184",-44.4957014859128
"2185",-44.4217542580089
"2186",-44.3478070301051
"2187",-44.2738598022012
"2188",-44.1999125742974
"2189",-44.1259653463935
"2190",-44.0520181184897
"2191",-43.9780708905859
"2192",-43.904123662682
"2193",-43.8301764347782
"2194",-43.7562292068743
"2195",-43.6822819789705
"2196",-43.6083347510666
"2197",-43.5343875231628
"2198",-43.460440295259
"2199",-43.3864930673551
"2200",-43.3125458394513
"2201",-43.2385986115474
"2202",-43.1646513836436
"2203",-43.0907041557398
"2204",-43.0167569278359
"2205",-42.9428096999321
"2206",-42.8688624720282
"2207",-42.7949152441244
"2208",-42.7209680162206
"2209",-42.6470207883167
"2210",-42.5730735604129
"2211",-42.499126332509
"2212",-42.4251791046052
"2213",-42.3512318767013
"2214",-42.2772846487975
"2215",-42.2033374208937
"2216",-42.1293901929898
"2217",-42.055442965086
"2218",-41.9814957371821
"2219",-41.9075485092783
"2220",-41.8336012813745
"2221",-41.7596540534706
"2222",-41.6857068255668
"2223",-41.6117595976629
"2224",-41.5378123697591
"2225",-41.4638651418553
"2226",-41.3899179139514
"2227",-41.3159706860476
"2228",-41.2420234581437
"2229",-41.1680762302399
"2230",-41.094129002336
"2231",-41.0201817744322
"2232",-40.9462345465284
"2233",-40.8722873186245
"2234",-40.7983400907207
"2235",-40.7243928628168
"2236",-40.650445634913
"2237",-40.5764984070091
"2238",-40.5025511791053
"2239",-40.4286039512015
"2240",-40.3546567232976
"2241",-40.2807094953938
"2242",-40.2067622674899
"2243",-40.1328150395861
"2244",-40.0588678116822
"2245",-39.9849205837784
"2246",-39.9109733558745
"2247",-39.8370261279707
"2248",-39.7630789000669
"2249",-39.689131672163
"2250",-39.6151844442592
"2251",-39.5412372163553
"2252",-39.4672899884515
"2253",-39.3933427605477
"2254",-39.3193955326438
"2255",-39.24544830474
"2256",-39.1715010768361
"2257",-39.0975538489323
"2258",-39.0236066210284
"2259",-38.9496593931246
"2260",-38.8757121652208
"2261",-38.8017649373169
"2262",-38.7278177094131
"2263",-38.6538704815092
"2264",-38.5799232536054
"2265",-38.5059760257016
"2266",-38.4320287977977
"2267",-38.3580815698939
"2268",-38.28413434199
"2269",-38.2101871140862
"2270",-38.1362398861824
"2271",-38.0622926582785
"2272",-37.9883454303747
"2273",-37.9143982024708
"2274",-37.840450974567
"2275",-37.7665037466631
"2276",-37.6925565187593
"2277",-37.6186092908555
"2278",-37.5446620629516
"2279",-37.4707148350478
"2280",-37.3967676071439
"2281",-37.3228203792401
"2282",-37.2488731513363
"2283",-37.1749259234324
"2284",-37.1009786955286
"2285",-37.0270314676247
"2286",-36.9530842397209
"2287",-36.879137011817
"2288",-36.8051897839132
"2289",-36.7312425560094
"2290",-36.6572953281055
"2291",-36.5833481002017
"2292",-36.5094008722978
"2293",-36.435453644394
"2294",-36.3615064164901
"2295",-36.2875591885863
"2296",-36.2136119606824
"2297",-36.1396647327786
"2298",-36.0657175048748
"2299",-35.9917702769709
"2300",-35.9178230490671
"2301",-35.8438758211632
"2302",-35.7699285932594
"2303",-35.6959813653555
"2304",-35.6220341374517
"2305",-35.5480869095479
"2306",-35.474139681644
"2307",-35.4001924537402
"2308",-35.3262452258363
"2309",-35.2522979979325
"2310",-35.1783507700287
"2311",-35.1044035421248
"2312",-35.030456314221
"2313",-34.9565090863171
"2314",-34.8825618584133
