"","features","rank_in_american","rank_in_british","difference"
"694","arguing",7648,5081,2567
"695","argument",9342,8809,533
"696","arguments",8175,7684,491
"697","arise",1509,7306,5797
"698","arizona",5889,NA,NA
"699","arkansas",6619,NA,NA
"700","arlington",3294,NA,NA
"701","arm",6079,7096,1017
"702","armageddon",1841,NA,NA
"703","armed",7071,8347,1276
"704","arms",8549,8545,4
"705","army",8998,9277,279
"706","army's",591,NA,NA
"707","arnold",4206,3504,702
"708","around",9787,9783,4
"709","arrange",2060,5993,3933
"710","arranged",4458,7392,2934
"711","arrangement",3943,7121,3178
"712","arrangements",4606,8563,3957
"713","array",3432,2118,1314
"714","arrest",7355,6491,864
"715","arrested",7246,7799,553
"716","arrests",3679,2147,1532
"717","arrival",5791,7222,1431
"718","arrive",5716,6608,892
"719","arrived",7782,8640,858
"720","arrives",3538,2595,943
"721","arriving",2068,4817,2749
"722","arrogance",4051,NA,NA
"723","arrogant",2956,NA,NA
"724","arsenal",465,5349,4884
"725","art",9668,9552,116
"726","arthur",7339,6425,914
"727","article",9761,8731,1030
"728","articles",8697,7242,1455
"729","articulate",1566,1542,24
"730","artificial",4632,5331,699
"731","artist",8130,7720,410
"732","artist's",732,2613,1881
"733","artistic",6298,5701,597
"734","artists",8158,8142,16
"735","arts",7587,8585,998
"736","as",9989,9988,1
"737","asahi",2103,NA,NA
"738","ashamed",1581,NA,NA
"739","asia",7523,7390,133
"740","asia's",590,NA,NA
"741","asian",8488,6302,2186
"742","asians",2840,NA,NA
"743","aside",8361,6955,1406
"744","ask",9411,9143,268
"745","asked",9624,9524,100
"746","asking",8663,7778,885
"747","asks",8490,5224,3266
"748","asleep",2654,1902,752
"749","aspect",6517,7872,1355
"750","aspects",5397,8749,3352
"751","aspirations",357,3862,3505
"752","ass",5194,NA,NA
"753","assassination",5691,1624,4067
"754","assault",7067,6790,277
"755","assaults",535,153,382
"756","assembled",4049,3999,50
"757","assembly",4139,8481,4342
"758","assert",4238,1813,2425
"759","asserted",4661,2447,2214
"760","assertion",5996,2765,3231
"761","assertions",2559,NA,NA
"762","asserts",6131,NA,NA
"763","assess",1809,6677,4868
"764","assesses",1411,NA,NA
"765","assessment",7500,8688,1188
"766","asset",3291,6650,3359
"767","assets",6824,8285,1461
"768","assign",1458,NA,NA
"769","assigned",4711,3724,987
"770","assignment",3384,3540,156
"771","assistance",5993,8146,2153
"772","assistant",6588,7583,995
"773","assistants",235,1267,1032
"774","assisted",2544,4511,1967
"775","associate",6174,4135,2039
"776","associated",7876,8760,884
"777","associates",2667,3130,463
"778","association",8568,9300,732
"779","associations",2469,6240,3771
"780","assume",7998,7498,500
"781","assumed",6350,7663,1313
"782","assumes",5053,3394,1659
"783","assuming",5599,5235,364
"784","assumption",6080,7125,1045
"785","assumptions",4302,6857,2555
"786","assure",2525,605,1920
"787","assured",4515,5666,1151
"788","astonishing",5009,2474,2535
"789","astounding",198,NA,NA
"790","asylum",529,4086,3557
"791","at",9975,9984,9
"792","ate",3174,1248,1926
"793","athlete",396,NA,NA
"794","athletes",4759,624,4135
"795","athletic",3653,174,3479
"796","atlanta",5957,NA,NA
"797","atlantic",7039,6058,981
"798","atmosphere",5168,7725,2557
"799","atomic",2773,2045,728
"800","atop",1139,NA,NA
"801","atrocities",4862,NA,NA
"802","attached",5788,7439,1651
"803","attack",9151,9041,110
"804","attacked",7156,7153,3
"805","attacking",5774,4263,1511
"806","attacks",8536,7624,912
"807","attempt",9039,9238,199
"808","attempted",5283,7641,2358
"809","attempting",5611,6621,1010
"810","attempts",8171,8329,158
"811","attend",6378,7467,1089
"812","attendance",4018,5949,1931
"813","attendant",2176,NA,NA
"814","attended",6403,7605,1202
"815","attending",4003,5558,1555
"816","attention",9364,9303,61
"817","attitude",7461,8355,894
"818","attitudes",5630,8317,2687
"819","attorney",8366,2729,5637
"820","attorneys",6118,NA,NA
"821","attract",5914,6853,939
"822","attracted",3780,6972,3192
"823","attracting",290,2605,2315
"824","attraction",2835,4612,1777
"825","attractive",6677,8139,1462
"826","attracts",147,NA,NA
"827","attribute",3433,543,2890
"828","attributed",5502,5373,129
"829","attributes",4844,2705,2139
"830","auction",5654,5310,344
"831","auctions",1919,NA,NA
"832","audience",8934,8312,622
"833","audiences",5740,4428,1312
"834","audio",4295,541,3754
"835","aug",8376,7721,655
"836","august",7466,8979,1513
"837","augusto",880,NA,NA
"838","aunt",2851,1949,902
"839","aura",1862,NA,NA
"840","austin",4652,89,4563
"841","australia",6702,8041,1339
"842","australian",6074,6903,829
"843","authentic",4213,3095,1118
"844","authenticity",2562,NA,NA
"845","author",9174,7826,1348
"846","author's",2997,630,2367
"847","authoritarian",1798,849,949
"848","authoritative",830,747,83
