"","x"
"141",3.53954024549177e-88
"142",3.98388017524459e-88
"143",4.4838423239206e-88
"144",5.04636951856706e-88
"145",5.67926869791103e-88
"146",6.39131814800057e-88
"147",7.19238800672263e-88
"148",8.09357567419459e-88
"149",9.10735796735017e-88
"150",1.02477620831363e-87
"151",1.15305576884389e-87
"152",1.29734727397677e-87
"153",1.45964359554509e-87
"154",1.64218492220191e-87
"155",1.84748936193442e-87
"156",2.07838732011979e-87
"157",2.33806011754983e-87
"158",2.63008336979313e-87
"159",2.95847571319866e-87
"160",3.3277535345662e-87
"161",3.74299244200995e-87
"162",4.20989630488182e-87
"163",4.73487479196122e-87
"164",5.32513045087779e-87
"165",5.98875649932129e-87
"166",6.73484664178843e-87
"167",7.57361838624759e-87
"168",8.51655151532564e-87
"169",9.57654356880963e-87
"170",1.07680844210548e-86
"171",1.21074522913604e-86
"172",1.36129338107478e-86
"173",1.53050710887552e-86
"174",1.72069390829472e-86
"175",1.93444569766151e-86
"176",2.17467377218821e-86
"177",2.44464804120793e-86
"178",2.74804107154587e-86
"179",3.08897752395302e-86
"180",3.4720896409897e-86
"181",3.90257952487878e-86
"182",4.38628903370406e-86
"183",4.92977822508379e-86
"184",5.54041338942143e-86
"185",6.22646584150181e-86
"186",6.99722278121529e-86
"187",7.86311169341107e-86
"188",8.83583993537834e-86
"189",9.92855136056115e-86
"190",1.11560020514341e-85
"191",1.25347574859257e-85
"192",1.40834137436442e-85
"193",1.58228456741064e-85
"194",1.77764853032948e-85
"195",1.99706341517809e-85
"196",2.24348135824956e-85
"197",2.5202157794778e-85
"198",2.83098546400578e-85
"199",3.17996400606555e-85
"200",3.57183526548328e-85
"201",4.01185556574704e-85
"202",4.50592345067612e-85
"203",5.06065791544633e-85
"204",5.68348613833228e-85
"205",6.38274186345147e-85
"206",7.16777572363172e-85
"207",8.04907894808251e-85
"208",9.03842207377736e-85
"209",1.01490104747106e-84
"210",1.13956587418108e-84
"211",1.27949861912897e-84
"212",1.43656360535688e-84
"213",1.61285212022141e-84
"214",1.81070996266028e-84
"215",2.03276832374607e-84
"216",2.28197840263049e-84
"217",2.56165020832311e-84
"218",2.87549605191502e-84
"219",3.22767929448714e-84
"220",3.62286898385198e-84
"221",4.06630108932516e-84
"222",4.56384712884433e-84
"223",5.12209107810933e-84
"224",5.74841555813305e-84
"225",6.45109841710025e-84
"226",7.23942095623287e-84
"227",8.1237891991167e-84
"228",9.1158697716379e-84
"229",1.02287421473679e-83
"230",1.14770692233492e-83
"231",1.28772884264221e-83
"232",1.44478258134817e-83
"233",1.62093359237113e-83
"234",1.81849704705892e-83
"235",2.04006793306134e-83
"236",2.28855476986796e-83
"237",2.56721737423769e-83
"238",2.87970916047416e-83
"239",3.23012451839071e-83
"240",3.62305187658537e-83
"241",4.06363313112826e-83
"242",4.55763020086445e-83
"243",5.11149956127704e-83
"244",5.73247571037853e-83
"245",6.42866463368298e-83
"246",7.20914846238266e-83
"247",8.08410266100916e-83
"248",9.06492723988427e-83
"249",1.01643936655559e-82
"250",1.13968093413993e-82
"251",1.27782017531391e-82
"252",1.43265246229962e-82
"253",1.60618886946087e-82
"254",1.80068200822898e-82
"255",2.01865494664722e-82
"256",2.26293358066873e-82
"257",2.53668286790109e-82
"258",2.84344738319849e-82
"259",3.18719670997534e-82
"260",3.57237624201018e-82
"261",4.00396403862169e-82
"262",4.48753445223136e-82
"263",5.02932933246578e-82
"264",5.63633770612956e-82
"265",6.31638493878725e-82
"266",7.07823250266253e-82
