"","x"
"115",2.60335589117437e-06
"116",2.62505660070197e-06
"117",2.64692856075185e-06
"118",2.66897303821629e-06
"119",2.69119130864837e-06
"120",2.71358465631543e-06
"121",2.73615437425284e-06
"122",2.75890176431802e-06
"123",2.78182813724479e-06
"124",2.804934812698e-06
"125",2.82822311932846e-06
"126",2.85169439482805e-06
"127",2.87534998598534e-06
"128",2.89919124874134e-06
"129",2.92321954824555e-06
"130",2.94743625891237e-06
"131",2.97184276447782e-06
"132",2.99644045805646e-06
"133",3.02123074219871e-06
"134",3.04621502894843e-06
"135",3.07139473990081e-06
"136",3.09677130626054e-06
"137",3.12234616890036e-06
"138",3.14812077841976e-06
"139",3.17409659520423e-06
"140",3.20027508948456e-06
"141",3.22665774139665e-06
"142",3.25324604104149e-06
"143",3.28004148854559e-06
"144",3.30704559412158e-06
"145",3.33425987812923e-06
"146",3.36168587113675e-06
"147",3.38932511398238e-06
"148",3.41717915783643e-06
"149",3.44524956426339e-06
"150",3.47353790528456e-06
"151",3.50204576344109e-06
"152",3.53077473185701e-06
"153",3.55972641430289e-06
"154",3.58890242525972e-06
"155",3.6183043899831e-06
"156",3.64793394456775e-06
"157",3.67779273601247e-06
"158",3.70788242228522e-06
"159",3.73820467238871e-06
"160",3.76876116642638e-06
"161",3.79955359566835e-06
"162",3.83058366261819e-06
"163",3.86185308107975e-06
"164",3.89336357622428e-06
"165",3.92511688465811e-06
"166",3.95711475449048e-06
"167",3.98935894540182e-06
"168",4.02185122871234e-06
"169",4.05459338745094e-06
"170",4.08758721642453e-06
"171",4.12083452228765e-06
"172",4.1543371236125e-06
"173",4.18809685095912e-06
"174",4.22211554694632e-06
"175",4.2563950663225e-06
"176",4.29093727603719e-06
"177",4.32574405531275e-06
"178",4.36081729571645e-06
"179",4.39615890123305e-06
"180",4.43177078833752e-06
"181",4.4676548860683e-06
"182",4.50381313610083e-06
"183",4.54024749282147e-06
"184",4.57695992340189e-06
"185",4.61395240787349e-06
"186",4.65122693920271e-06
"187",4.68878552336625e-06
"188",4.72663017942684e-06
